Task Name,Sub-tasks,Output,Title,URL
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","Since a coronavirus was identified as the causative agent of the 2003 outbreak of severe acute respiratory syndrome (SARS), [1] [2] [3] [4] scientific interest in this family of viruses has increased dramatically. 5 Coronaviruses are enveloped, positive-strand RNA viruses that cause a wide spectrum of disease in humans and animals. These viruses are divided into three distinct groups on the basis of genome organization and phylogenetic analysis. Human coronavirus 229E (HCoV 229E) causes a mild form of the common cold and belongs to group 1, which includes the recently discovered human coronavirus NL63 6 and the porcine coronavirus, transmissible gastroenteritis virus (TGEV). Human coronaviruses belonging to group 2 are OC43 and HKU1, the latter also having been discovered very recently. 7 The SARS coronavirus has been classified as an outlier of group 2. 8 Coronaviruses infecting birds have been identified as a separate group (group 3). 9 The genome of HCoV 229E consists of 27,277 nucleotides, comprising a total of eight open reading frames. The entire replicase complex of the virus is encoded within two large overlapping open reading frames, ORF 1a and ORF 1b. ORF 1a codes for polyprotein 1a (pp1a) with a calculated molecular mass of 454 kDa. Involving a (?1) ribosomal frameshift, translation of ORF 1a and ORF 1b together yields the giant polypeptide 1ab (pp1ab) with a calculated molecular mass of 754 kDa. 10, 11 These polyproteins are processed by two virus-encoded papain-like proteases (PL1 pro and PL2 pro ) 12 and the main proteinase (M pro , also called 3C-like protease, 3CL pro ), 13 resulting in 16 non-structural proteins (Nsps). The crystal structure of HCoV-229E M pro has been determined by our group 14 and shown to be similar to that of the homologous enzyme from TGEV. 15 The structure of the SARS-CoV M pro16, 17 is also very similar.",Variable Oligomerization Modes in Coronavirus Non-structural Protein 9,https://doi.org/10.1016/j.jmb.2008.07.071
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","In February 2003 The World Health Organization (WHO) announced that a new pathogen -a member of the coronavirus (CoV) family -is the cause of severe acute respiratory syndrome (SARS), a mysterious atypical pneumonia that emerged in China's Guangdong province three months earlier. Over the next weeks, the illness spread to more than two dozen countries in Asia, North America, South America, and Europe, resulting in over 8000 individuals becoming infected; 774 of which died. Currently, significant efforts in the area of SARS vaccine research are being made. Several neutralizing antibodies have been isolated and reported to prevent viral infection, mainly, via blocking the association between the viral spike protein and its cellular receptor, angiotensin convertingenzyme 2 (ACE-2). Here we report the first steps toward identifying a major neutralizing epitope of SARS-CoV, using an original reverse immunological approach. According to this approach, a neutralizing monoclonal antibody (mAb) serves as a template for the ultimate production of an epitope-based vaccine. In order to accomplish this task one must backtrack from the antibody of interest to its corresponding neutralizing epitope. Once identified, the epitope can be reconstituted and used to elicit antibodies with neutralizing activity characteristic of the original mAb. 80R [1] , is a highly potent neutralizing human anti-SARS mAb directed against the viral spike protein and has been used to affinity select panels of mAb specific peptides from phage displayed random peptide libraries. ""Mapitope"" [2] , a unique computer algorithm, uses these peptides as input and has enabled us to map the 80R epitope on the spike protein. In general, Map-itope prediction of an epitope is based on the notion that the panel of affinity selected peptides collectively represents the epitope of the mAb which they bind. More specifically, pairs of amino acids enriched in the peptide panels are taken to effectively represent surface accessible discontinuous pairs of residues of the epitope, juxtaposed in the antigen via protein folding. Two independent peptide-panels were analyzed against the crystalline structure of the receptor binding domain (RBD) of the SARS-CoV spike protein by Mapitope [3] . Three clusters (A, B and C) were predicted as potential epitopes. Cluster A ranked the highest, and is currently being considered for reconstitution and epitope based vaccine production.",Epitope-based vaccines: SARS -a model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1716885/
"What is known about transmission, incubation, and environmental stability?","Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.","The incubation period of an infectious disease is the time elapsed between infection and appearance of the first symptoms and signs. Precise knowledge of the incubation period would help to provide an optimal length of quarantine period for disease control purpose, and also is essential in the investigation of the mechanism of transmission and development of treatment. For example, the distribution of the incubation period is used to estimate the reproductive number ? , that is, the average number of secondary infections produced by a primary case. The reproductive number is a key quantity that impacts the potential size of an epidemic. Despite the importance of the incubation period, it is often poorly estimated based on limited data.",Estimation of incubation period distribution of COVID-19 using disease onset forward time: a novel cross-sectional and forward follow-up study,https://doi.org/10.1101/2020.03.06.20032417
"What is known about transmission, incubation, and environmental stability?","Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.","Traditionally, incubation period is defined as the period between the infection of an individual by a pathogen and the manifestation of the illness or disease it causes [32, 33] . Different infectious diseases have different incubation periods. However, for a certain infectious disease, its incubation period is relatively fixed. Since the number of pathogens entering the body, virulence and reproductive capacity, as well as power of resistance are different for different people, thus, it is reported that the incubation periods obtained from patients for a certain disease should follow logarithm normal distribution [16, 33] . Generally, incubation period can be measured by physiological observations and biological experiments [33] . The determination of incubation period has great implications for disease transmission control and policy making.","Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv",https://doi.org/10.1101/2020.02.21.20026112
"What is known about transmission, incubation, and environmental stability?","Range of incubation periods for the disease in humans (and how this varies across age and health status) and how long individuals are contagious, even after recovery.","The incubation period is estimated between 7 and 14 days. Symptoms are similar to those from other respiratory viruses, including https://doi.org/10.1016/j.tmaid.2020.101567 Received 28 January 2020; Accepted 28 January 2020 Travel Medicine and Infectious Disease 33 (2020) 101567 Available online 30 January 2020 1477-8939/ © 2020 Elsevier Ltd. All rights reserved. T fever, cough, and shortness of breath with radiographs showing invasive lesions in the lungs. Some cases need hospitalization due to the worsening of the clinical status and in several cases, the complications could lead to death [18] [19] [20] . WHO has constantly updating information on the outbreak and definitions under (https://www.who.int/healthtopics/coronavirus).",NA,https://doi.org/10.1016/j.tmaid.2020.101567
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","Since a coronavirus was identified as the causative agent of the 2003 outbreak of severe acute respiratory syndrome (SARS), [1] [2] [3] [4] scientific interest in this family of viruses has increased dramatically. 5 Coronaviruses are enveloped, positive-strand RNA viruses that cause a wide spectrum of disease in humans and animals. These viruses are divided into three distinct groups on the basis of genome organization and phylogenetic analysis. Human coronavirus 229E (HCoV 229E) causes a mild form of the common cold and belongs to group 1, which includes the recently discovered human coronavirus NL63 6 and the porcine coronavirus, transmissible gastroenteritis virus (TGEV). Human coronaviruses belonging to group 2 are OC43 and HKU1, the latter also having been discovered very recently. 7 The SARS coronavirus has been classified as an outlier of group 2. 8 Coronaviruses infecting birds have been identified as a separate group (group 3). 9 The genome of HCoV 229E consists of 27,277 nucleotides, comprising a total of eight open reading frames. The entire replicase complex of the virus is encoded within two large overlapping open reading frames, ORF 1a and ORF 1b. ORF 1a codes for polyprotein 1a (pp1a) with a calculated molecular mass of 454 kDa. Involving a (?1) ribosomal frameshift, translation of ORF 1a and ORF 1b together yields the giant polypeptide 1ab (pp1ab) with a calculated molecular mass of 754 kDa. 10, 11 These polyproteins are processed by two virus-encoded papain-like proteases (PL1 pro and PL2 pro ) 12 and the main proteinase (M pro , also called 3C-like protease, 3CL pro ), 13 resulting in 16 non-structural proteins (Nsps). The crystal structure of HCoV-229E M pro has been determined by our group 14 and shown to be similar to that of the homologous enzyme from TGEV. 15 The structure of the SARS-CoV M pro16, 17 is also very similar.",Variable Oligomerization Modes in Coronavirus Non-structural Protein 9,https://doi.org/10.1016/j.jmb.2008.07.071
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","Recently, a coronavirus was identified as the causative agent of an emerging disease, severe acute respiratory syndrome (SARS) (Ksiazek et al., 2003) . During its first outbreak in 2003, SARS led to at least 8000 infections and over 750 fatalities (Donnelly et al., 2003) . The SARS coronavirus (SARS-CoV) genome consists of approximately 29,700 nucleotides encoding a predicted 28 proteins (Marra et al., 2003; Rota et al., 2003) , including several alternative ORFs. These occur in the 3 0 region of the genome, which encodes structural and accessory proteins that are involved in the assembly of the virus particle (see Figure 1) . Although the precise details of coronavirus assembly are not well understood, the consensus model is that the RNA genome is packaged in the cell cytoplasm by multiple copies of the relatively well conserved (Stadler et al., 2003) N-protein to form the nucleocapsid. The nucleocapsid then associates with the viral membrane proteins M, S, and E in the ER-to-Golgi intermediate compartment, where virus particles assemble and bud into the Golgi. In SARS-CoV, as in other group 2 coronaviruses, an additional protein is synthesized (called ORF-9b in SARS-CoV and internal or I-protein otherwise) from an alternative reading frame of the N-gene. In BCV, the I-protein is produced in an exact molar ratio with the N-protein (Senanayake and Brian, 1997) and in MHV it is present in the assembled virion, suggesting that it acts as an accessory structural protein in viral assembly (Fischer et al., 1997) . The MHV I-protein is not essential for the production of viable virus; however, it does confer a selective advantage for virus growth (Fischer et al., 1997) . Although little is known about the equivalent protein in SARS Co-V, antibodies against ORF-9b have been found in patients, demonstrating that it is produced during infection (Qiu et al., 2005) .","The Crystal Structure of ORF-9b, a Lipid Binding Protein from the SARS Coronavirus",0
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","In February 2003 The World Health Organization (WHO) announced that a new pathogen -a member of the coronavirus (CoV) family -is the cause of severe acute respiratory syndrome (SARS), a mysterious atypical pneumonia that emerged in China\'s Guangdong province three months earlier. Over the next weeks, the illness spread to more than two dozen countries in Asia, North America, South America, and Europe, resulting in over 8000 individuals becoming infected; 774 of which died. Currently, significant efforts in the area of SARS vaccine research are being made. Several neutralizing antibodies have been isolated and reported to prevent viral infection, mainly, via blocking the association between the viral spike protein and its cellular receptor, angiotensin convertingenzyme 2 (ACE-2). Here we report the first steps toward identifying a major neutralizing epitope of SARS-CoV, using an original reverse immunological approach. According to this approach, a neutralizing monoclonal antibody (mAb) serves as a template for the ultimate production of an epitope-based vaccine. In order to accomplish this task one must backtrack from the antibody of interest to its corresponding neutralizing epitope. Once identified, the epitope can be reconstituted and used to elicit antibodies with neutralizing activity characteristic of the original mAb. 80R [1] , is a highly potent neutralizing human anti-SARS mAb directed against the viral spike protein and has been used to affinity select panels of mAb specific peptides from phage displayed random peptide libraries. ""Mapitope"" [2] , a unique computer algorithm, uses these peptides as input and has enabled us to map the 80R epitope on the spike protein. In general, Map-itope prediction of an epitope is based on the notion that the panel of affinity selected peptides collectively represents the epitope of the mAb which they bind. More specifically, pairs of amino acids enriched in the peptide panels are taken to effectively represent surface accessible discontinuous pairs of residues of the epitope, juxtaposed in the antigen via protein folding. Two independent peptide-panels were analyzed against the crystalline structure of the receptor binding domain (RBD) of the SARS-CoV spike protein by Mapitope [3] . Three clusters (A, B and C) were predicted as potential epitopes. Cluster A ranked the highest, and is currently being considered for reconstitution and epitope based vaccine production.",Epitope-based vaccines: SARS -a model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1716885/
"What is known about transmission, incubation, and environmental stability?","Physical science of the coronavirus (e.g., charge distribution, adhesion to hydrophilic/phobic surfaces, environmental survival to inform decontamination efforts for affected areas and provide information about viral shedding).","The Severe acute respiratory syndrome coronavirus (SARS-CoV) has also developed a strategy to overcome host innate immune defenses. The viral gene products derived from ORF3b, ORF6 and N protein were able to disrupt IFN-? production through inhibition of IRF3 [149] . Similarly, blocking IRF3 activation allows the nucleoprotein of the Lymphocytic choriomeningitis virus (arenavirus) to antagonize the type I IFN response [150] . Another report showed that the sumoylation of IRF3 and IRF7 upon VSV infection leads to negative regulation of Type I IFN production [151] . Induction of type I IFNs can also be inhibited through the targeting of TLRs by some viruses. For instance, the NS3-4A protein of the HCV antagonizes the TLR3 pathway through the cleavage of the TLR-3 adaptor protein TRIF in the endosomal compartment [152] . Another interesting example is provided by the Vaccinia virus (VACV). It encodes two proteins, A46 and A52 that independently target distinct components of the TLR pathway and antagonize host innate antiviral responses. A46 interacts with the adaptor molecules MyD88, TRIF, and TRAM through its homotypic TIR domain and thereby interferes with the TLR-mediated pathways leading to IRF3 activation and type I IFN production [153] . A52 interrupts signal transmission leading to activation of NF-B by interacting with IRAK2 and TRAF6 [154] . Notably, infection of mice with a VACV lacking the A46R or A52R gene resulted in an attenuated phenotype, demonstrating their association with VACV virulence [153, 154] . Furthermore, it has recently been demonstrated that the VACV virulence factor B14 disables pro-inflammatory responses by interacting with IKK?, thereby inhibiting NF-B activation [155] (Table 1) .","Current review Interferons: Signaling, antiviral and viral evasion",https://doi.org/10.1016/j.imlet.2008.11.002
"What is known about transmission, incubation, and environmental stability?",Seasonality of transmission., Educate the public on modes of transmission and risk factors for infection. • Raise awareness of the disease among high-risk groups such as animal workers and in school settings. • Make recommendations for environmental cleanup of contaminated surfaces and fomites with dilute bleach solution (1:10).,"Table 9-2 n Diseases and Agents ""to watch"" in Terms of Zoonotic Potential",https://doi.org/10.1016/b978-1-4160-6837-2.00009-9
